person;ccount;27784;
tag:stardog:api:tese;509;509;1,83 %
tag:stardog:api:amazonia;245;754;2,71 %
tag:stardog:api:mato_grosso;197;951;3,42 %
tag:stardog:api:porto_alegre;149;1100;3,96 %
tag:stardog:api:quilombola;144;1244;4,48 %
tag:stardog:api:maranhao;139;1383;4,98 %
tag:stardog:api:gomes;131;1514;5,45 %
tag:stardog:api:kaingang;126;1640;5,90 %
tag:stardog:api:conceicao_evaristo;116;1756;6,32 %
tag:stardog:api:mg;102;1858;6,69 %
tag:stardog:api:michel_foucault;99;1957;7,04 %
tag:stardog:api:silva;98;2055;7,40 %
tag:stardog:api:munanga;93;2148;7,73 %
tag:stardog:api:stuart_hall;87;2235;8,04 %
tag:stardog:api:santos;84;2319;8,35 %
tag:stardog:api:goias;84;2403;8,65 %
tag:stardog:api:paulo_freire;83;2486;8,95 %
tag:stardog:api:terena;83;2569;9,25 %
tag:stardog:api:dra;80;2649;9,53 %
tag:stardog:api:ba;78;2727;9,82 %
tag:stardog:api:oliveira;78;2805;10,10 %
tag:stardog:api:kaiowa;75;2880;10,37 %
tag:stardog:api:nilma_lino_gomes;74;2954;10,63 %
tag:stardog:api:lelia_gonzalez;73;3027;10,89 %
tag:stardog:api:recife;71;3098;11,15 %
tag:stardog:api:dourados;71;3169;11,41 %
tag:stardog:api:freire;70;3239;11,66 %
tag:stardog:api:rio_negro;69;3308;11,91 %
tag:stardog:api:foucault;68;3376;12,15 %
tag:stardog:api:vale;66;3442;12,39 %
tag:stardog:api:kabengele_munanga;63;3505;12,62 %
tag:stardog:api:frantz_fanon;60;3565;12,83 %
tag:stardog:api:hall;60;3625;13,05 %
tag:stardog:api:bardin;60;3685;13,26 %
tag:stardog:api:quijano;54;3739;13,46 %
tag:stardog:api:law;53;3792;13,65 %
tag:stardog:api:bourdieu;53;3845;13,84 %
tag:stardog:api:quilombo;51;3896;14,02 %
tag:stardog:api:nascimento;51;3947;14,21 %
tag:stardog:api:grada_kilomba;50;3997;14,39 %
tag:stardog:api:almeida;50;4047;14,57 %
tag:stardog:api:souza;48;4095;14,74 %
